"SUMLEV","STATE","COUNTY","STNAME","CTYNAME","YEAR","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
50,1,1,"Alabama","Autauga County",7,0,55395,26943,28452,21134,22004,4903,5445,121,154,235,368,38,18,512,463,21614,22414,5142,5695,293,315,380,484,56,42,26161,27720,20494,21383,4843,5402,104,134,232,360,24,13,464,428,20935,21766,5062,5630,251,276,362,469,37,32,782,732,640,621,60,43,17,20,3,8,14,5,48,35,679,648,80,65,42,39,18,15,19,10
50,1,3,"Alabama","Baldwin County",7,0,200111,97597,102514,85143,89191,9309,9823,720,768,823,994,68,60,1534,1678,86595,90738,9904,10512,1473,1582,1146,1372,149,141,92748,98233,80760,85333,9146,9656,628,684,810,980,48,48,1356,1532,82054,86765,9661,10273,1279,1419,1104,1316,110,106,4849,4281,4383,3858,163,167,92,84,13,14,20,12,178,146,4541,3973,243,239,194,163,42,56,39,35
50,1,5,"Alabama","Barbour County",7,0,26887,14354,12533,7218,6281,6809,5997,95,64,66,66,27,20,139,105,7324,6370,6906,6063,154,100,85,83,31,26,13647,12021,6655,5870,6747,5942,34,32,66,66,15,9,130,102,6755,5958,6837,6007,88,66,85,82,19,14,707,512,563,411,62,55,61,32,0,0,12,11,9,3,569,412,69,56,66,34,0,1,12,12
50,1,7,"Alabama","Bibb County",7,0,22506,12168,10338,8886,8277,3095,1869,45,50,17,33,25,4,100,105,8983,8367,3142,1921,85,101,37,51,29,12,11844,10188,8612,8160,3078,1853,43,44,17,33,7,1,87,97,8697,8244,3119,1899,78,92,35,48,8,8,324,150,274,117,17,16,2,6,0,0,18,3,13,8,286,123,23,22,7,9,2,3,21,4
50,1,9,"Alabama","Blount County",7,0,57719,28553,29166,27374,28030,575,472,187,176,68,100,41,25,308,363,27671,28361,666,600,371,388,109,158,52,38,25772,26905,24761,25891,516,429,144,142,66,96,13,6,272,341,25023,26205,587,545,313,343,102,149,23,16,2781,2261,2613,2139,59,43,43,34,2,4,28,19,36,22,2648,2156,79,55,58,45,7,9,29,22
50,1,11,"Alabama","Bullock County",7,0,10764,5893,4871,1788,1109,3934,3614,42,48,14,13,45,34,70,53,1854,1151,3977,3642,62,68,25,26,52,40,5447,4514,1512,869,3863,3577,10,17,14,13,2,2,46,36,1555,898,3891,3595,24,30,20,24,5,6,446,357,276,240,71,37,32,31,0,0,43,32,24,17,299,253,86,47,38,38,5,2,47,34
50,1,13,"Alabama","Butler County",7,0,20296,9421,10875,5199,5734,4008,4926,40,35,93,99,5,4,76,77,5271,5798,4042,4974,71,64,107,112,8,9,9287,10766,5118,5659,3969,4899,38,33,88,97,4,4,70,74,5184,5720,4001,4946,66,61,101,108,6,8,134,109,81,75,39,27,2,2,5,2,1,0,6,3,87,78,41,28,5,3,6,4,2,1
50,1,15,"Alabama","Calhoun County",7,0,115916,55880,60036,42792,45043,11315,13100,324,278,434,584,62,50,953,981,43659,45919,11807,13630,672,652,643,804,117,125,53682,58144,40977,43473,11142,12962,254,218,404,561,53,43,852,887,41756,44267,11578,13441,564,547,594,765,98,106,2198,1892,1815,1570,173,138,70,60,30,23,9,7,101,94,1903,1652,229,189,108,105,49,39,19,19
50,1,17,"Alabama","Chambers County",7,0,34076,16248,17828,9614,10248,6245,7215,47,39,142,123,15,5,185,198,9788,10425,6346,7347,115,97,170,151,20,13,15841,17562,9330,10040,6178,7182,32,36,132,123,5,4,164,177,9485,10199,6266,7299,92,87,157,147,8,10,407,266,284,208,67,33,15,3,10,0,10,1,21,21,303,226,80,48,23,10,13,4,12,3
50,1,19,"Alabama","Cherokee County",7,0,26037,12959,13078,12037,12165,615,593,81,60,23,46,4,3,199,211,12224,12355,694,696,181,173,49,70,11,7,12763,12881,11858,11996,614,590,74,55,23,34,1,0,193,206,12039,12182,691,691,170,164,49,56,8,4,196,197,179,169,1,3,7,5,0,12,3,3,6,5,185,173,3,5,11,9,0,14,3,3
